,Group name,User Discord id,Discord_user_name,Team Leader for that group,Vice Team Leader for that group,College group,Team leader discord id,Vice team leader discord id
1,DJP Team,,,,,,,
,,382446882158542849,IndominouS#3592,IndominouS#3592,Prajval#6309,,382446882158542849,584642212038443018
,,584642212038443018,Prajval#6309,IndominouS#3592,Prajval#6309,,382446882158542849,584642212038443018
,,751103114513219684,outofyoureach#4382,IndominouS#3592,Prajval#6309,,382446882158542849,584642212038443018
,,776494599078281258,Rutuja#6316,IndominouS#3592,Prajval#6309,,382446882158542849,584642212038443018
,,771602584992481322,Zukaritoruki#1603,IndominouS#3592,Prajval#6309,,382446882158542849,584642212038443018
,,688694971527593987,poojagera0_0#6878,IndominouS#3592,Prajval#6309,,382446882158542849,584642212038443018
,,798125765983993886,khushboo#5966,IndominouS#3592,Prajval#6309,,382446882158542849,584642212038443018
,,675032119357210648,Black Flame#3904,IndominouS#3592,Prajval#6309,,382446882158542849,584642212038443018
,,760486318873509899,AV#2596,IndominouS#3592,Prajval#6309,,382446882158542849,584642212038443018
,,766893563124252682,HIMANSHU#4792,IndominouS#3592,Prajval#6309,,382446882158542849,584642212038443018
,,550275744748797970,Aaarush-Goyal#5883,IndominouS#3592,Prajval#6309,,382446882158542849,584642212038443018
,,576703213617545226,gauravgupta14#4787,IndominouS#3592,Prajval#6309,,382446882158542849,584642212038443018
,,,,,,,,
2,Aditya Rawat Team,,,,,,,
,,614417547428757504,! Aditya Rawat#9471,! Aditya Rawat#9471,LordDanu#7204,,614417547428757504,770193383964540928
,,770193383964540928,LordDanu#7204,! Aditya Rawat#9471,LordDanu#7204,,614417547428757504,770193383964540928
,,460007509336260635,Lord Tyrion#9374,! Aditya Rawat#9471,LordDanu#7204,,614417547428757504,770193383964540928
,,746435969364000848,shrey#6218,! Aditya Rawat#9471,LordDanu#7204,,614417547428757504,770193383964540928
,,558307596742688784,raibove#0094,! Aditya Rawat#9471,LordDanu#7204,,614417547428757504,770193383964540928
,,686989040708616203,Vinit_Churi#3477,! Aditya Rawat#9471,LordDanu#7204,,614417547428757504,770193383964540928
,,576418383654944792,Sagar Khurana#9108,! Aditya Rawat#9471,LordDanu#7204,,614417547428757504,770193383964540928
,,756532264761950379,Nikk_Nikky#0441,! Aditya Rawat#9471,LordDanu#7204,,614417547428757504,770193383964540928
,,768855264614285375,Sarthak#7187,! Aditya Rawat#9471,LordDanu#7204,,614417547428757504,770193383964540928
,,434252444785049600,sidd_oo#3454,! Aditya Rawat#9471,LordDanu#7204,,614417547428757504,770193383964540928
,,764730117674631200,fzhora#3571,! Aditya Rawat#9471,LordDanu#7204,,614417547428757504,770193383964540928
,,570843685101502464,Rakshit#9683,! Aditya Rawat#9471,LordDanu#7204,,614417547428757504,770193383964540928
,,,,,,,,
3,Vasanth Team,,,,,,,
,,817015236959141918,Sampath Kumar#9197,VASANTH KUMAR G ( P )#3955,the_spiderman#3328,,778930168134762526,578266317258489857
,,762607273460891648,Azib123#5114,VASANTH KUMAR G ( P )#3955,the_spiderman#3328,,778930168134762526,578266317258489857
,,699183759269822544,headrest#8857,VASANTH KUMAR G ( P )#3955,the_spiderman#3328,,778930168134762526,578266317258489857
,,647809479521337354,dkpro_7#2057,VASANTH KUMAR G ( P )#3955,the_spiderman#3328,,778930168134762526,578266317258489857
,,778930168134762526,VASANTH KUMAR G ( P )#3955,VASANTH KUMAR G ( P )#3955,the_spiderman#3328,,778930168134762526,578266317258489857
,,775668863983157248,Ibrhm#3389,VASANTH KUMAR G ( P )#3955,the_spiderman#3328,,778930168134762526,578266317258489857
,,596197125797183491,Mr.Igneus#3053,VASANTH KUMAR G ( P )#3955,the_spiderman#3328,,778930168134762526,578266317258489857
,,668663722772004874,A h m e d#1660,VASANTH KUMAR G ( P )#3955,the_spiderman#3328,,778930168134762526,578266317258489857
,,578266317258489857,the_spiderman#3328,VASANTH KUMAR G ( P )#3955,the_spiderman#3328,,778930168134762526,578266317258489857
,,790246203275083848,Suhan#2023,VASANTH KUMAR G ( P )#3955,the_spiderman#3328,,778930168134762526,578266317258489857
,,706058343570997290,! Aditya#3683,VASANTH KUMAR G ( P )#3955,the_spiderman#3328,,778930168134762526,578266317258489857
,,,,,,,,
4,Runtime Terror Team,,,,,,,
,,478593901570031626,hash#5186,Orion#4646,Kanish#6569,,763082265873219594,545143578960330786
,,749878724782194770,monogon#3570,Orion#4646,Kanish#6569,,763082265873219594,545143578960330786
,,545143578960330786,Kanish#6569,Orion#4646,Kanish#6569,,763082265873219594,545143578960330786
,,701733153613676566,Vàibhàv#8126,Orion#4646,Kanish#6569,,763082265873219594,545143578960330786
,,601513183932317752,Vaibhav-uchiha,Orion#4646,Kanish#6569,,763082265873219594,545143578960330786
,,763082265873219594,Orion#4646,Orion#4646,Kanish#6569,,763082265873219594,545143578960330786
,,759660795826667541,多reeze Öfτhe HeสveŇ#0428,Orion#4646,Kanish#6569,,763082265873219594,545143578960330786
,,762588369825431572,Honey #6189,Orion#4646,Kanish#6569,,763082265873219594,545143578960330786
,,773531045878169640,tsy148#8482,Orion#4646,Kanish#6569,,763082265873219594,545143578960330786
,,698775218423857263,ksbest#5528,Orion#4646,Kanish#6569,,763082265873219594,545143578960330786
,,478527950480867338,Vilgax#0573,Orion#4646,Kanish#6569,,763082265873219594,545143578960330786
,,538413168234463232,Drills#7658,Orion#4646,Kanish#6569,,763082265873219594,545143578960330786
,,,,,,,,
5,Dheet Developers Team,,,,,,,
,,345616863146803211,akshansh_s#8475,akshansh_s#8475,Amit#4552,,345616863146803211,743423378123259956
,,760432254009999360,PrasanNa??#5377,akshansh_s#8475,Amit#4552,,345616863146803211,743423378123259956
,,769448271436578818,Anuahree#7137,akshansh_s#8475,Amit#4552,,345616863146803211,743423378123259956
,,817063343126216734,Bhargavi Bhodankar#9065,akshansh_s#8475,Amit#4552,,345616863146803211,743423378123259956
,,760374452172619776,poorvi#8570,akshansh_s#8475,Amit#4552,,345616863146803211,743423378123259956
,,596605046066511882,isha_f#0335,akshansh_s#8475,Amit#4552,,345616863146803211,743423378123259956
,,768500960703021076,Sourabh Dohare#2057,akshansh_s#8475,Amit#4552,,345616863146803211,743423378123259956
,,644999915344363531,!     Gauti#3509,akshansh_s#8475,Amit#4552,,345616863146803211,743423378123259956
,,743423378123259956,Amit#4552,akshansh_s#8475,Amit#4552,,345616863146803211,743423378123259956
,,812622783875907594,Mr_Sumit#4596,akshansh_s#8475,Amit#4552,,345616863146803211,743423378123259956
,,759368599940104193,savinay#9966,akshansh_s#8475,Amit#4552,,345616863146803211,743423378123259956
,,,,,,,,
6,Decoders Team,,,,,,,
,,652134127356870670,imbhuvnesh#5243,N30N#0954,Inzii#6004,,743719337109749841,400853386611785728
